index,image_path,location,location_normalized,year,taluk_norm,locality_norm
173,F:\images\2020\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2020,guindy,t
174,F:\images\2021\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2021,guindy,t
175,F:\images\2022\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2022,guindy,t
176,F:\images\2024\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2024,guindy,t
177,F:\images\2025\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2025,guindy,t
178,F:\images\2014\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2014,guindy,venkatapuram
179,F:\images\2020\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2020,guindy,venkatapuram
180,F:\images\2021\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2021,guindy,venkatapuram
181,F:\images\2022\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2022,guindy,venkatapuram
182,F:\images\2024\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2024,guindy,venkatapuram
183,F:\images\2025\Guindy_Venkatapuram.png,Guindy_Venkatapuram,guindy venkatapuram,2025,guindy,venkatapuram
184,F:\images\2014\Kolathur_Kolathur.png,Kolathur_Kolathur,kolathur kolathur,2014,kolathur,kolathur
185,F:\images\2020\Kolathur_Kolathur.png,Kolathur_Kolathur,kolathur kolathur,2020,kolathur,kolathur
186,F:\images\2021\Kolathur_Kolathur.png,Kolathur_Kolathur,kolathur kolathur,2021,kolathur,kolathur
187,F:\images\2022\Kolathur_Kolathur.png,Kolathur_Kolathur,kolathur kolathur,2022,kolathur,kolathur
188,F:\images\2024\Kolathur_Kolathur.png,Kolathur_Kolathur,kolathur kolathur,2024,kolathur,kolathur
189,F:\images\2014\Kolathur_Peravallur.png,Kolathur_Peravallur,kolathur peravallur,2014,kolathur,peravallur
190,F:\images\2020\Kolathur_Peravallur.png,Kolathur_Peravallur,kolathur peravallur,2020,kolathur,peravallur
191,F:\images\2021\Kolathur_Peravallur.png,Kolathur_Peravallur,kolathur peravallur,2021,kolathur,peravallur
192,F:\images\2022\Kolathur_Peravallur.png,Kolathur_Peravallur,kolathur peravallur,2022,kolathur,peravallur
193,F:\images\2024\Kolathur_Peravallur.png,Kolathur_Peravallur,kolathur peravallur,2024,kolathur,peravallur
194,F:\images\2014\Kolathur_Siruvallur.png,Kolathur_Siruvallur,kolathur siruvallur,2014,kolathur,siruvallur
195,F:\images\2020\Kolathur_Siruvallur.png,Kolathur_Siruvallur,kolathur siruvallur,2020,kolathur,siruvallur
196,F:\images\2021\Kolathur_Siruvallur.png,Kolathur_Siruvallur,kolathur siruvallur,2021,kolathur,siruvallur
197,F:\images\2022\Kolathur_Siruvallur.png,Kolathur_Siruvallur,kolathur siruvallur,2022,kolathur,siruvallur
198,F:\images\2024\Kolathur_Siruvallur.png,Kolathur_Siruvallur,kolathur siruvallur,2024,kolathur,siruvallur
199,F:\images\2014\Madhavaram_Chettimedu.png,Madhavaram_Chettimedu,madhavaram chettimedu,2014,madhavaram,chettimedu
